                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0948,                 3.3239,                 3.7439,                0.10758,                0.15109,                0.04943,                0.01519,                 2.5468,                 3.8639,                 3.0896,             0.00066087,             0.00066087,             0.00066087
                      2,                 2.2798,                 2.4541,                 2.6593,                 0.4279,                0.35652,                0.34338,                0.14604,                 2.0418,                 3.0869,                  2.453,               0.001275,               0.001275,               0.001275
                      3,                 1.9893,                 2.1157,                 2.3484,                0.46237,                 0.4663,                0.43815,                0.21216,                 1.8722,                 2.6448,                 2.2404,              0.0018363,              0.0018363,              0.0018363
                      4,                 1.8917,                 1.9231,                 2.1975,                0.61317,                0.48415,                0.55212,                0.28231,                  1.795,                 1.8646,                 2.0815,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.8039,                 1.7966,                 2.0892,                 0.6739,                0.63152,                 0.6922,                0.35378,                  1.686,                 1.6096,                 1.9315,              0.0016832,              0.0016832,              0.0016832
                      6,                 1.7047,                 1.6278,                 1.9883,                0.73143,                0.61739,                0.70791,                0.33708,                 1.7317,                 1.4734,                 1.9651,               0.001604,               0.001604,               0.001604
                      7,                 1.6536,                 1.5609,                  1.935,                0.73624,                0.69177,                 0.7598,                 0.3693,                 1.7684,                 1.3534,                 1.9669,              0.0015248,              0.0015248,              0.0015248
                      8,                 1.5844,                 1.4518,                 1.8773,                0.83429,                0.66304,                  0.794,                0.46503,                 1.4914,                   1.18,                  1.715,              0.0014456,              0.0014456,              0.0014456
                      9,                 1.5591,                 1.3916,                 1.8468,                0.80726,                0.75978,                0.82961,                0.42115,                 1.7264,                 1.1248,                 1.8763,              0.0013664,              0.0013664,              0.0013664
                     10,                 1.5177,                 1.3376,                 1.7929,                0.82674,                0.71522,                0.82623,                0.41669,                  1.705,                  1.148,                 1.9227,              0.0012872,              0.0012872,              0.0012872
                     11,                 1.4909,                 1.2811,                 1.7662,                0.79039,                0.75416,                0.81285,                0.45533,                 1.5404,                 1.1534,                 1.7359,               0.001208,               0.001208,               0.001208
                     12,                  1.461,                 1.2322,                 1.7421,                0.82795,                0.74022,                 0.8474,                0.48132,                 1.5693,                 1.0237,                 1.7489,              0.0011288,              0.0011288,              0.0011288
                     13,                 1.4202,                 1.1872,                 1.7105,                0.85834,                 0.7837,                0.87984,                0.55787,                 1.3198,                0.88259,                 1.5519,              0.0010496,              0.0010496,              0.0010496
                     14,                 1.4017,                 1.1601,                 1.6951,                0.85263,                0.74239,                0.85272,                0.53329,                  1.296,                  1.064,                 1.5705,              0.0009704,              0.0009704,              0.0009704
                     15,                 1.3902,                  1.134,                 1.6771,                0.86762,                0.75978,                0.85771,                0.55581,                 1.2807,                0.92198,                 1.5238,              0.0008912,              0.0008912,              0.0008912
                     16,                 1.2504,                0.91097,                 1.5857,                0.87296,                0.81739,                0.90452,                0.59372,                 1.2504,                0.80256,                 1.5009,               0.000812,               0.000812,               0.000812
                     17,                  1.211,                0.84581,                 1.5482,                0.88309,                0.83913,                0.92044,                0.58572,                 1.3032,                0.78009,                 1.5335,              0.0007328,              0.0007328,              0.0007328
                     18,                 1.1628,                0.80082,                 1.4956,                  0.881,                0.85217,                0.92322,                0.56164,                 1.3827,                 0.7984,                 1.5847,              0.0006536,              0.0006536,              0.0006536
                     19,                 1.1454,                0.76929,                 1.4813,                0.89581,                0.84891,                0.92131,                0.57107,                 1.3554,                0.76779,                 1.5635,              0.0005744,              0.0005744,              0.0005744
                     20,                 1.1128,                0.73942,                 1.4509,                0.91829,                0.85508,                0.94365,                0.61379,                 1.2288,                0.70719,                 1.4509,              0.0004952,              0.0004952,              0.0004952
                     21,                 1.0877,                0.70997,                 1.4276,                0.91049,                0.88696,                0.94819,                 0.6503,                 1.1418,                0.66947,                 1.3768,               0.000416,               0.000416,               0.000416
                     22,                 1.0807,                 0.6975,                  1.425,                0.90006,                0.90057,                0.94396,                 0.6535,                 1.0827,                0.66275,                 1.3595,              0.0003368,              0.0003368,              0.0003368
                     23,                 1.0551,                0.67053,                  1.399,                0.92021,                0.86848,                 0.9417,                0.61658,                 1.2435,                0.67468,                 1.4622,              0.0002576,              0.0002576,              0.0002576
                     24,                 1.0355,                0.64799,                 1.3781,                0.91976,                0.90652,                 0.9542,                0.67627,                 1.0656,                0.61087,                 1.3303,              0.0001784,              0.0001784,              0.0001784
                     25,                 1.0144,                0.63822,                 1.3708,                 0.8981,                0.91739,                 0.9558,                0.67455,                 1.0806,                0.60944,                 1.3341,               9.92e-05,               9.92e-05,               9.92e-05
